Timestamp,Value
Sep 2015,44.8
Oct 2015,47.2
Nov 2015,122.8
Dec 2015,147
Jan 2016,185.6
Feb 2016,53.6
Mar 2016,23.2
Apr 2016,90.8
May 2016,20.8
Jun 2016,92.6
Jul 2016,62
Aug 2016,35
Sep 2016,49.2
Oct 2016,59.2
Nov 2016,38
Dec 2016,54.2
Jan 2017,30.8
Feb 2017,72.6
Mar 2017,47.4
Apr 2017,6.6
May 2017,51.8
Jun 2017,159.8
Jul 2017,58.2
Aug 2017,80.6
Sep 2017,74
Oct 2017,48
Nov 2017,39.6
Dec 2017,43.6
Jan 2018,76.4
Feb 2018,30.6
Mar 2018,48.2
Apr 2018,27
May 2018,32
Jun 2018,40
Jul 2018,54.4
Aug 2018,82.2
Sep 2018,43.4
Oct 2018,54.4
Nov 2018,90.6
Dec 2018,68
Jan 2019,10.8
Feb 2019,25
Mar 2019,88.2
Apr 2019,32.2
May 2019,87.6
Jun 2019,75.2
Jul 2019,81.2
Aug 2019,139.2
Sep 2019,51.2
Oct 2019,89
Nov 2019,139.6
Dec 2019,51
Jan 2020,49.2
Feb 2020,152.8
Mar 2020,30.2
Apr 2020,7.4
May 2020,32.8
Jun 2020,74.2
Jul 2020,66
Aug 2020,104.2
Sep 2020,41.4
Oct 2020,158.8
Nov 2020,47.2
Dec 2020,102.8
Jan 2021,92.2
Feb 2021,122.8
Mar 2021,37.6
Apr 2021,8.8
May 2021,144.8
Jun 2021,17.8
Jul 2021,34.2
Aug 2021,53.6
Sep 2021,47.8
Oct 2021,122.6
Nov 2021,33.4
Dec 2021,77.8
Jan 2022,17
Feb 2022,75.2
Mar 2022,34
Apr 2022,38.8
May 2022,46.2
Jun 2022,29
Jul 2022,26.8
Aug 2022,38.6
Sep 2022,85.6
Oct 2022,85.6
Nov 2022,150.2
Dec 2022,108.2
Jan 2023,34.6
Feb 2023,25.6
Mar 2023,74.8
Apr 2023,36.2
May 2023,18.6
Jun 2023,45
Jul 2023,102.4
Aug 2023,34.8
Sep 2023,67.8
Oct 2023,235.8
Nov 2023,105.6
Dec 2023,167.4
Jan 2024,69
Feb 2024,48.8
Mar 2024,93.2
Apr 2024,91.4
May 2024,84.8
Jun 2024,32.4
Jul 2024,66
Aug 2024,58
Sep 2024,14.4
Oct 2024,65.6
Nov 2024,43.6
Dec 2024,63.2
Jan 2025,36
Feb 2025,34.6
Mar 2025,21.8
Apr 2025,15.4
May 2025,31.2
Jun 2025,75.6
Jul 2025,57.2
Aug 2025,34.2
