Timestamp,Value
Sep 2015,26.8
Oct 2015,106
Nov 2015,205.6
Dec 2015,362.8
Jan 2016,266
Feb 2016,107.2
Mar 2016,42.2
Apr 2016,64.4
May 2016,66
Jun 2016,49.4
Jul 2016,65.2
Aug 2016,59
Sep 2016,128.2
Oct 2016,44.2
Nov 2016,30.4
Dec 2016,84.6
Jan 2017,40.6
Feb 2017,111.8
Mar 2017,90
Apr 2017,7.2
May 2017,54.6
Jun 2017,119.6
Jul 2017,76.6
Aug 2017,100
Sep 2017,103
Oct 2017,72
Nov 2017,55
Dec 2017,56.8
Jan 2018,154.8
Feb 2018,44.6
Mar 2018,85.8
Apr 2018,67.6
May 2018,25.6
Jun 2018,52.4
Jul 2018,40.4
Aug 2018,67.2
Sep 2018,77.4
Oct 2018,87.6
Nov 2018,206.8
Dec 2018,105.6
Jan 2019,18
Feb 2019,93.8
Mar 2019,139.2
Apr 2019,49.8
May 2019,100.8
Jun 2019,82.8
Jul 2019,75
Aug 2019,180.2
Sep 2019,100.8
Oct 2019,115.6
Nov 2019,106.2
Dec 2019,169.2
Jan 2020,162.4
Feb 2020,300.8
Mar 2020,91.8
Apr 2020,18.6
May 2020,46.4
Jun 2020,82.8
Jul 2020,117.6
Aug 2020,118.2
Sep 2020,100.2
Oct 2020,240.2
Nov 2020,136.6
Dec 2020,171.2
Jan 2021,88
Feb 2021,210.8
Mar 2021,112
Apr 2021,11.8
May 2021,121
Jun 2021,43.4
Jul 2021,111.4
Aug 2021,70.2
Sep 2021,80.6
Oct 2021,177.6
Nov 2021,58.6
Dec 2021,104
Jan 2022,65.2
Feb 2022,199.2
Mar 2022,65.8
Apr 2022,32.8
May 2022,78.2
Jun 2022,67.6
Jul 2022,54.8
Aug 2022,90.2
Sep 2022,156.4
Oct 2022,201.8
Nov 2022,216.4
Dec 2022,88.6
Jan 2023,127.6
Feb 2023,38.4
Mar 2023,134.2
Apr 2023,53.4
May 2023,40.8
Jun 2023,49.6
Jul 2023,162.2
Aug 2023,80.6
Sep 2023,159.8
Oct 2023,234.4
Nov 2023,110.2
Dec 2023,189.6
Jan 2024,156
Feb 2024,93
Mar 2024,118.2
Apr 2024,118.6
May 2024,73.2
Jun 2024,46.6
Jul 2024,46.2
Aug 2024,154.8
Sep 2024,41.2
Oct 2024,106.4
Nov 2024,73.2
Dec 2024,146.8
Jan 2025,77.6
Feb 2025,142.4
Mar 2025,44.8
Apr 2025,32.6
May 2025,55.2
Jun 2025,55.6
Jul 2025,64.6
Aug 2025,55.8
