Timestamp,Value
Sep 2015,53.6
Oct 2015,91.2
Nov 2015,302.8
Dec 2015,513
Jan 2016,321.2
Feb 2016,175
Mar 2016,81.4
Apr 2016,86.8
May 2016,56.6
Jun 2016,96.4
Jul 2016,158
Aug 2016,114.8
Sep 2016,165.2
Oct 2016,53.6
Nov 2016,93
Dec 2016,121
Jan 2017,73.4
Feb 2017,170.4
Mar 2017,189
Apr 2017,35.6
May 2017,113
Jun 2017,143.6
Jul 2017,152.2
Aug 2017,198.6
Sep 2017,157.4
Oct 2017,183.2
Nov 2017,118
Dec 2017,130.2
Jan 2018,224.6
Feb 2018,84.2
Mar 2018,80
Apr 2018,117.8
May 2018,53.8
Jun 2018,116.8
Jul 2018,75.4
Aug 2018,118.4
Sep 2018,148.8
Oct 2018,147
Nov 2018,244
Dec 2018,147.2
Jan 2019,61
Feb 2019,150.2
Mar 2019,241.4
Apr 2019,56.2
May 2019,60.6
Jun 2019,101.6
Jul 2019,145.4
Aug 2019,237
Sep 2019,173.8
Oct 2019,100.2
Nov 2019,80
Dec 2019,151.8
Jan 2020,217.8
Feb 2020,383.6
Mar 2020,120.2
Apr 2020,15.8
May 2020,39.4
Jun 2020,161.6
Jul 2020,190
Aug 2020,204.6
Sep 2020,88.4
Oct 2020,195.6
Nov 2020,192.2
Dec 2020,205
Jan 2021,110.8
Feb 2021,256.8
Mar 2021,181
Apr 2021,11.2
May 2021,132.4
Jun 2021,31.8
Jul 2021,37.8
Aug 2021,97
Sep 2021,125.4
Oct 2021,354.6
Nov 2021,108.4
Dec 2021,117.2
Jan 2022,73.2
Feb 2022,278.8
Mar 2022,71.2
Apr 2022,62.4
May 2022,113.8
Jun 2022,81.8
Jul 2022,90.2
Aug 2022,71.4
Sep 2022,151.4
Oct 2022,265.2
Nov 2022,204.2
Dec 2022,177.8
Jan 2023,213.6
Feb 2023,74
Mar 2023,206.6
Apr 2023,64.4
May 2023,39
Jun 2023,111
Jul 2023,188.2
Aug 2023,123.6
Sep 2023,161.2
Oct 2023,134.2
Nov 2023,89.2
Dec 2023,232.4
Jan 2024,220
Feb 2024,148.6
Mar 2024,177.6
Apr 2024,151.8
May 2024,107
Jun 2024,79.4
Jul 2024,92
Aug 2024,338.2
Sep 2024,59.8
Oct 2024,157.2
Nov 2024,86
Dec 2024,186.8
Jan 2025,80.2
Feb 2025,117.6
Mar 2025,47.6
Apr 2025,42.2
May 2025,96
Jun 2025,206.8
Jul 2025,109.6
Aug 2025,81.2
