Timestamp,Value
Sep 2015,73.8
Oct 2015,125.2
Nov 2015,105.8
Dec 2015,255
Jan 2016,461.4
Feb 2016,84.2
Mar 2016,60.4
Apr 2016,100
May 2016,33.8
Jun 2016,100.6
Jul 2016,70.8
Aug 2016,52.8
Sep 2016,62.8
Oct 2016,101.4
Nov 2016,73.2
Dec 2016,42.6
Jan 2017,48.2
Feb 2017,116.2
Mar 2017,59.8
Apr 2017,31
May 2017,26.8
Jun 2017,99
Jul 2017,73.6
Aug 2017,79.2
Sep 2017,103.4
Oct 2017,61.4
Nov 2017,78.4
Dec 2017,44.8
Jan 2018,61.4
Feb 2018,47
Mar 2018,133.8
Apr 2018,43.6
May 2018,49
Jun 2018,43.6
Jul 2018,76.8
Aug 2018,50.2
Sep 2018,51.2
Oct 2018,100.4
Nov 2018,212.6
Dec 2018,90
Jan 2019,37.8
Feb 2019,50.8
Mar 2019,69.2
Apr 2019,45.2
May 2019,107
Jun 2019,62.6
Jul 2019,123.4
Aug 2019,147.6
Sep 2019,87.4
Oct 2019,85.2
Nov 2019,189.4
Dec 2019,76
Jan 2020,64.2
Feb 2020,169.4
Mar 2020,39
Apr 2020,16.8
May 2020,49.2
Jun 2020,59.2
Jul 2020,63.6
Aug 2020,89
Sep 2020,35.4
Oct 2020,190.4
Nov 2020,68.6
Dec 2020,194.4
Jan 2021,55.6
Feb 2021,184.4
Mar 2021,59
Apr 2021,13.4
May 2021,203.2
Jun 2021,15.6
Jul 2021,95.8
Aug 2021,121
Sep 2021,66.8
Oct 2021,154.2
Nov 2021,63.2
Dec 2021,108.8
Jan 2022,22.2
Feb 2022,77.4
Mar 2022,99
Apr 2022,45.2
May 2022,61.4
Jun 2022,36.2
Jul 2022,46.6
Aug 2022,70.6
Sep 2022,155.4
Oct 2022,121.4
Nov 2022,290.6
Dec 2022,120.2
Jan 2023,61
Feb 2023,28.2
Mar 2023,75.8
Apr 2023,96
May 2023,35
Jun 2023,39.8
Jul 2023,108
Aug 2023,71.2
Sep 2023,113.2
Oct 2023,412.4
Nov 2023,86
Dec 2023,266
Jan 2024,113
Feb 2024,59.6
Mar 2024,105.2
Apr 2024,94.6
May 2024,69.6
Jun 2024,37.6
Jul 2024,94.2
Aug 2024,68
Sep 2024,27.4
Oct 2024,79.2
Nov 2024,46.2
Dec 2024,104.6
Jan 2025,68.6
Feb 2025,92.2
Mar 2025,39
Apr 2025,21
May 2025,30
Jun 2025,57.2
Jul 2025,87
Aug 2025,28.8
