Timestamp,Value
Sep 2015,64.2
Oct 2015,118
Nov 2015,173
Dec 2015,182.6
Jan 2016,193
Feb 2016,116.8
Mar 2016,94.2
Apr 2016,105.8
May 2016,50
Jun 2016,50.2
Jul 2016,124
Aug 2016,133.6
Sep 2016,121
Oct 2016,51.8
Nov 2016,139
Dec 2016,160.2
Jan 2017,111.4
Feb 2017,105.4
Mar 2017,131.4
Apr 2017,99.4
May 2017,38.2
Jun 2017,86.8
Jul 2017,94.4
Aug 2017,119.6
Sep 2017,146.8
Oct 2017,255.8
Nov 2017,173.8
Dec 2017,161.8
Jan 2018,156
Feb 2018,78.2
Mar 2018,90.8
Apr 2018,42.2
May 2018,39.6
Jun 2018,37.2
Jul 2018,66.6
Aug 2018,74.4
Sep 2018,184.6
Oct 2018,153.8
Nov 2018,93
Dec 2018,117.2
Jan 2019,120.2
Feb 2019,96.2
Mar 2019,129
Apr 2019,48
May 2019,74.2
Jun 2019,85.4
Jul 2019,83.6
Aug 2019,110.4
Sep 2019,99
Oct 2019,101.4
Nov 2019,51.6
Dec 2019,169.4
Jan 2020,145.4
Feb 2020,179.8
Mar 2020,113.4
Apr 2020,63.2
May 2020,56.4
Jun 2020,27.8
Jul 2020,121.8
Aug 2020,53.6
Sep 2020,116.6
Oct 2020,113
Nov 2020,163.8
Dec 2020,99.6
Jan 2021,86.8
Feb 2021,54
Mar 2021,104.8
Apr 2021,52.6
May 2021,92.8
Jun 2021,23.6
Jul 2021,28.8
Aug 2021,61.8
Sep 2021,81.2
Oct 2021,160
Nov 2021,176.2
Dec 2021,109.6
Jan 2022,160.8
Feb 2022,149
Mar 2022,41.6
Apr 2022,32.8
May 2022,65.8
Jun 2022,68
Jul 2022,69.6
Aug 2022,100.4
Sep 2022,101.2
Oct 2022,140.6
Nov 2022,171.8
Dec 2022,163.6
Jan 2023,177.4
Feb 2023,137.4
Mar 2023,112.8
Apr 2023,57.6
May 2023,38.8
Jun 2023,42.4
Jul 2023,141.2
Aug 2023,64.4
Sep 2023,138.6
Oct 2023,122.4
Nov 2023,152.8
Dec 2023,204
Jan 2024,130
Feb 2024,153.2
Mar 2024,108.2
Apr 2024,103.6
May 2024,50.8
Jun 2024,87.4
Jul 2024,53
Aug 2024,117.2
Sep 2024,114.6
Oct 2024,143
Nov 2024,113.8
Dec 2024,155.8
Jan 2025,132.8
Feb 2025,51.8
Mar 2025,141.8
Apr 2025,34.8
May 2025,61.8
Jun 2025,107.6
Jul 2025,43.8
Aug 2025,92.4
