Timestamp,Value
Sep 2015,20.8
Oct 2015,30.2
Nov 2015,204
Dec 2015,209.4
Jan 2016,152.8
Feb 2016,105.4
Mar 2016,2.2
Apr 2016,97.8
May 2016,39.2
Jun 2016,49.4
Jul 2016,90.4
Aug 2016,64.2
Sep 2016,75.8
Oct 2016,29.8
Nov 2016,54.8
Dec 2016,71.8
Jan 2017,32.4
Feb 2017,97.2
Mar 2017,86.6
Apr 2017,11.6
May 2017,38.8
Jun 2017,112.4
Jul 2017,83.8
Aug 2017,69.8
Sep 2017,80
Oct 2017,100.2
Nov 2017,72.6
Dec 2017,101.4
Jan 2018,126.4
Feb 2018,46.4
Mar 2018,70
Apr 2018,62.6
May 2018,23.8
Jun 2018,80.6
Jul 2018,54
Aug 2018,69.2
Sep 2018,98.4
Oct 2018,70
Nov 2018,112.8
Dec 2018,71.8
Jan 2019,28
Feb 2019,52
Mar 2019,131.2
Apr 2019,48.4
May 2019,73.6
Jun 2019,81.6
Jul 2019,80.4
Aug 2019,142.4
Sep 2019,93.8
Oct 2019,118.6
Nov 2019,59.6
Dec 2019,134.8
Jan 2020,125.6
Feb 2020,248.2
Mar 2020,83.8
Apr 2020,8.6
May 2020,40.8
Jun 2020,110
Jul 2020,123.8
Aug 2020,143.6
Sep 2020,82.2
Oct 2020,120.4
Nov 2020,116.4
Dec 2020,127.4
Jan 2021,72.2
Feb 2021,58.4
Mar 2021,84.4
Apr 2021,9
May 2021,81.2
Jun 2021,23.6
Jul 2021,51
Aug 2021,119.6
Sep 2021,93.2
Oct 2021,176.6
Nov 2021,58
Dec 2021,77.2
Jan 2022,64.2
Feb 2022,178.1
Mar 2022,33.8
Apr 2022,35.4
May 2022,63
Jun 2022,29.2
Jul 2022,32.4
Aug 2022,65.2
Sep 2022,85.8
Oct 2022,145.6
Nov 2022,103.8
Dec 2022,116.6
Jan 2023,100.6
Feb 2023,54.4
Mar 2023,97.2
Apr 2023,36.6
May 2023,26.6
Jun 2023,43.8
Jul 2023,124
Aug 2023,52
Sep 2023,111.2
Oct 2023,94.8
Nov 2023,54
Dec 2023,146.6
Jan 2024,95.6
Feb 2024,83.2
Mar 2024,102.2
Apr 2024,118.8
May 2024,120.6
Jun 2024,37.6
Jul 2024,48.6
Aug 2024,124
Sep 2024,60.2
Oct 2024,66
Nov 2024,19.4
Dec 2024,103.6
Jan 2025,52.4
Feb 2025,49.2
Mar 2025,48.4
Apr 2025,29.6
May 2025,69
Jun 2025,87.2
Jul 2025,79
Aug 2025,30.8
