station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Abbey St Bathans,55.85329633,-2.387448356,15018,36870,2025-05-26 10:00:00,1.6,1.6,5,65970010,0,258
Aberlour,57.48021805,-3.205975095,234150,37132,2025-05-25 16:00:00,8.6,8.6,10,66118010,0,116
Affric Lodge,57.26272622,-5.005979754,115301,35596,2025-05-25 17:00:00,18,18,20,65985010,0,207
Alford,57.24230294,-2.717123004,234170,37182,2025-05-24 00:00:00,3.6,3.6,5,66120010,1,234
Allnabad,58.34717676,-4.644621014,234151,37138,2025-05-24 04:00:00,8,8,10,66165010,1,28
Allt Dearg House,57.28490502,-6.187008123,115304,35604,2025-05-24 02:00:00,12.8,12.8,20,65987010,1,264
Amlaird,55.66964373,-4.413260863,115500,35724,2025-05-24 02:00:00,11.4,11.4,20,66005010,1,245
Annfield,56.06640057,-3.371633207,15198,37068,2025-05-24 01:00:00,6.4,6.4,10,66109010,1,9
Ashgrove,55.66308049,-4.757486092,115506,35732,2025-05-24 02:00:00,14.2,14.2,20,66007010,1,152
Auchdergannach,57.22063972,-3.651932222,491811,38134,2025-05-24 01:00:00,10,10,10,66230010,1,32
Auchentroig,56.11221933,-4.342412217,15163,37032,2025-05-24 01:00:00,7.2,7.2,10,66162010,1,181
Auchinner,56.31678388,-4.112254665,14964,36720,2025-05-22 03:00:00,0,0,0,66082010,1,205
Auchnafree,56.47302976,-3.904678161,14952,36678,2025-05-24 04:00:00,5.2,5.2,10,66079010,1,127
Avochie,57.50564634,-2.782377895,234161,37164,2025-05-26 08:00:00,7.6,7.6,10,66119010,0,253
Avonbank,55.66347112,-4.051617294,322556,37610,2025-05-24 01:00:00,6.2,6.2,10,66145010,1,180
Ayton Castle,55.84727645,-2.114611023,15132,37004,2025-05-24 01:00:00,4,4,5,66099010,1,209
Badbea,57.86243941,-5.318746664,518147,38286,2025-05-24 01:00:00,10.2,10.2,20,66247010,1,30
Baddinsgill Reservoir,55.7838821,-3.394584951,15103,36956,2025-05-24 01:00:00,5.8,5.8,10,66096010,1,121
Baintown Rain-gauge,56.22101614,-3.042679056,501947,38184,2025-05-24 01:00:00,7,7,10,66237010,1,105
Balfron STW,56.06523441,-4.333343318,517412,38274,2025-05-24 01:00:00,3.8,3.8,5,66246010,1,233
Balgray RG,55.73428872,-4.5878755,490985,38126,2025-05-24 04:00:00,18,18,20,66228010,1,252
Balmedie STW,57.25007263,-2.0473803,115202,35508,2025-05-24 02:00:00,2.4,2.4,5,65972010,1,178
Baluniefield,56.48264025,-2.905576117,374852,38002,2025-05-24 01:00:00,4.6,4.6,5,66215010,1,95
Bannockburn,56.09528478,-3.911816854,14897,36494,2025-05-24 01:00:00,8.4,8.4,10,66059010,1,82
Beltmoss,55.98678855,-4.056528766,327235,37632,2025-05-24 01:00:00,9.2,9.2,10,66149010,1,204
Biggar Burn,55.65035093,-3.543765278,368536,37966,2025-05-24 01:00:00,4.9,4.9,5,66211010,1,156
Birkie Hue,58.16554218,-6.740713858,320371,37590,2025-05-24 01:00:00,14.2,14.2,20,66144010,1,182
Blackdyke Farm,55.52935031,-4.326283061,115516,35744,2025-05-24 04:00:00,12,12,20,66008010,1,100
Blackhills No 2,57.61017023,-3.222796593,115203,35512,2025-05-24 02:00:00,5.6,5.6,10,65973010,1,96
Blythe,55.7374816,-2.662263534,15116,36972,2025-05-24 01:00:00,7.4,7.4,10,66098010,1,269
Boleside,55.59164323,-2.798878774,533744,38340,2025-05-26 10:00:00,3.8,3.8,5,66251010,0,189
Boreland,55.20254702,-3.320073284,115518,35748,2025-05-24 02:00:00,8.6,8.6,10,66009010,1,206
Bow Burn Raingauge,55.44068058,-4.49863386,101227,487758,2025-05-24 04:00:00,11.4,11.4,20,66557010,1,124
Braco (Dunduff),56.28192154,-3.904225732,15161,37028,2025-05-24 04:00:00,5.2,5.2,10,66103010,1,37
Braeroy Lodge,56.98511362,-4.738585589,115315,35612,2025-05-24 02:00:00,0,0,0,65988010,1,128
Braidlie,55.26142915,-2.824951121,133144,36270,2025-05-24 00:00:00,5.2,5.2,10,66055010,1,13
Brigton,55.03779638,-4.566314357,115521,35752,2025-05-24 04:00:00,13.4,13.4,20,66010010,1,223
Broadside,56.02806207,-3.978158502,335609,37668,2025-05-26 09:00:00,21,21,30,66157010,0,70
Brockhoperig,55.4061286,-3.211513384,14987,36804,2025-05-24 00:00:00,3.4,3.4,5,66086010,1,238
Burnfoot (Hawknest),55.66513433,-3.895712474,115523,35756,2025-05-24 04:00:00,10.8,10.8,20,66011010,1,203
Bush,55.86190844,-3.206554074,335612,37672,2025-05-26 09:00:00,6,6,10,66158010,0,88
Cabrach,57.34816,-3.034565786,234176,37200,2025-05-24 00:00:00,4.2,4.2,5,66071010,1,22
Cairngorm Raingauge and Snow Scale,57.127702,-3.662955858,523676,38310,2025-05-24 04:00:00,7.4,7.4,10,66248010,1,81
Caldercruix STW,55.88933558,-3.904553259,115526,35760,2025-05-24 04:00:00,11.6,11.6,20,66012010,1,161
Cambo Sands,56.3008799,-2.650067453,338380,37784,2025-05-24 01:00:00,5.4,5.4,10,66187010,1,14
Camphill WTW Raingauge,55.75032761,-4.74461262,490984,38122,2025-05-24 01:00:00,16.2,16.2,20,66227010,1,111
Canonbie Raingauge,55.07786221,-2.942088127,306455,37586,2025-05-24 01:00:00,8.2,8.2,10,66143010,1,260
Capenoch Raingauge,55.22666817,-3.816934219,576753,38460,2025-05-24 01:00:00,8.2,8.2,10,66260010,1,94
Carmyllie-Hume Farm,56.57464969,-2.741331877,577951,38464,2025-05-24 01:00:00,4.2,4.2,5,66261010,1,172
Castle Kennedy,54.90675279,-4.944931414,116042,35996,2025-05-24 03:00:00,11.6,11.6,20,66065010,1,17
Charr,56.94084906,-2.619402267,234183,37210,2025-05-24 04:00:00,6.4,6.4,10,66121010,1,0
Chesters,55.37862961,-2.589607681,15004,36838,2025-05-24 01:00:00,4.8,4.8,5,66166010,1,231
Cheyne,56.97482596,-2.266470239,335574,37656,2025-05-26 09:00:00,3.4,3.4,5,66154010,0,20
Clachan-Seil,56.30375755,-5.601429727,115534,35764,2025-05-24 04:00:00,22.6,22.6,30,66013010,1,144
